C_YEAR,C_MNTH,C_WDAY,C_HOUR,C_SEV,C_VEHS,C_CONF,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_ID,V_TYPE,V_YEAR,P_ID,P_SEX,P_AGE,P_PSN,P_ISEV,P_SAFE,P_USER,C_CASE
1999,01,1,08,2,03,33,02,4,2,4,18,01,01,1989,01,M,18,11,2,02,1,000000000005392
1999,01,1,08,2,03,33,02,4,2,4,18,02,07,UUUU,01,M,51,11,1,02,1,000000000005392
1999,01,1,08,2,03,33,02,4,2,4,18,03,06,1994,01,F,34,11,1,UU,1,000000000005392
1999,01,1,10,2,01,04,UU,4,3,2,UU,01,01,1984,01,M,47,11,2,02,1,000000000005403
1999,01,1,23,2,01,03,UU,1,5,4,18,01,01,1993,01,F,23,11,2,02,1,000000000005409
1999,01,1,11,2,02,21,UU,1,1,1,06,01,01,1996,01,F,41,11,2,02,1,000000000005681
1999,01,1,11,2,02,21,UU,1,1,1,06,02,01,1997,01,F,44,11,1,UU,1,000000000005681
1999,01,1,10,2,01,01,UU,1,5,3,18,01,01,1998,01,M,26,11,1,02,1,000000000005776
1999,01,1,10,2,01,01,UU,1,5,3,18,01,01,1998,02,M,22,13,2,02,2,000000000005776
1999,01,1,10,2,01,01,UU,1,5,3,18,01,01,1998,03,M,25,21,2,02,2,000000000005776
1999,01,1,10,2,02,21,UU,1,1,2,18,01,01,1992,01,F,34,11,2,02,1,000000000005830
1999,01,1,10,2,02,21,UU,1,1,2,18,02,01,1988,01,F,35,11,1,UU,1,000000000005830
1999,01,1,12,2,02,21,UU,1,1,1,UU,01,01,1994,01,F,42,11,2,02,1,000000000005834
1999,01,1,12,2,02,21,UU,1,1,1,UU,02,01,1997,01,M,31,11,1,02,1,000000000005834
1999,01,1,12,2,02,QQ,UU,1,1,1,01,01,01,1997,01,M,29,11,2,02,1,000000000005835
1999,01,1,12,2,02,QQ,UU,1,1,1,01,02,06,1986,01,M,44,11,1,UU,1,000000000005835
1999,01,1,12,1,01,01,02,1,1,1,06,01,01,1995,01,M,83,11,1,UU,1,000000000005840
1999,01,1,12,1,01,01,02,1,1,1,06,99,NN,NNNN,01,M,15,99,3,UU,3,000000000005840
1999,01,1,09,2,02,01,02,1,1,1,06,01,01,1986,01,F,68,11,1,02,1,000000000005848
1999,01,1,09,2,02,01,02,1,1,1,06,02,17,UUUU,01,M,46,11,2,13,4,000000000005848
1999,01,1,16,2,01,01,UU,1,1,1,06,01,01,1991,01,F,34,11,1,02,1,000000000005850
1999,01,1,16,2,01,01,UU,1,1,1,06,99,NN,NNNN,01,M,37,99,2,UU,3,000000000005850
1999,01,1,14,2,02,21,02,1,2,1,18,01,01,1995,01,M,UU,11,1,02,1,000000000005865
1999,01,1,14,2,02,21,02,1,2,1,18,02,01,1990,01,F,28,11,2,02,1,000000000005865
1999,01,1,14,2,02,21,02,1,2,1,18,02,01,1990,02,M,37,13,2,02,2,000000000005865
1999,01,1,07,2,01,QQ,UU,1,5,4,UU,01,01,1994,01,M,41,11,2,02,1,000000000005887
1999,01,1,02,2,01,04,UU,1,6,4,18,01,01,1998,01,F,33,11,2,02,1,000000000006001
1999,01,1,13,2,01,03,UU,1,3,3,18,01,01,1992,01,F,20,11,2,02,1,000000000007752
1999,01,1,UU,2,01,03,UU,1,4,2,18,01,01,1989,01,M,30,11,2,02,1,000000000007777
1999,01,1,UU,2,01,03,UU,1,4,2,18,01,01,1989,02,M,29,13,2,02,2,000000000007777
1999,01,1,UU,2,01,03,UU,1,4,2,18,01,01,1989,03,M,01,21,2,02,2,000000000007777
1999,01,1,UU,2,01,03,UU,1,4,2,18,01,01,1989,04,F,25,22,2,02,2,000000000007777
1999,01,1,UU,2,01,03,UU,1,4,2,18,01,01,1989,05,F,02,23,2,02,2,000000000007777
1999,01,1,07,2,01,04,05,1,5,1,18,01,06,1994,01,F,50,11,2,02,1,000000000007791
1999,01,1,13,2,01,UU,UU,1,3,3,18,01,06,1994,01,U,54,11,1,UU,1,000000000007882
1999,01,1,13,2,01,UU,UU,1,3,3,18,01,06,1994,02,F,71,13,2,UU,2,000000000007882
1999,01,1,10,2,01,04,UU,1,3,1,18,01,01,1990,01,M,20,11,2,02,1,000000000008294
1999,01,1,13,2,02,24,03,1,1,1,18,01,01,1992,01,M,20,11,2,01,1,000000000008430
1999,01,1,13,2,02,24,03,1,1,1,18,02,01,1994,01,U,51,11,1,UU,1,000000000008430
1999,01,1,08,2,02,34,02,1,2,1,18,01,06,1989,01,M,53,11,2,02,1,000000000008465
1999,01,1,08,2,02,34,02,1,2,1,18,02,01,1998,01,F,71,11,2,02,1,000000000008465
1999,01,1,07,2,01,03,UU,1,5,2,18,01,01,1965,01,F,29,11,2,02,1,000000000008495
1999,01,1,07,2,01,03,UU,1,5,2,18,01,01,1965,02,F,26,13,2,02,2,000000000008495
1999,01,1,07,2,01,03,UU,1,5,2,18,01,01,1965,03,F,10,21,2,02,2,000000000008495
1999,01,1,16,2,01,01,UU,4,3,2,18,01,01,1987,01,U,32,11,1,UU,1,000000000008516
1999,01,1,16,2,01,01,UU,4,3,2,18,99,NN,NNNN,01,M,UU,99,2,NN,3,000000000008516
1999,01,1,08,2,01,03,UU,7,5,1,18,01,06,1999,01,F,25,11,2,02,1,000000000008583
1999,01,1,15,2,02,21,02,1,1,1,18,01,06,1988,01,U,54,11,1,UU,1,000000000008654
1999,01,1,15,2,02,21,02,1,1,1,18,02,01,1990,01,U,61,11,1,UU,1,000000000008654
1999,01,1,15,2,02,21,02,1,1,1,18,02,01,1990,02,M,26,23,2,02,2,000000000008654
1999,01,1,18,2,01,04,UU,1,3,2,18,01,01,1993,01,F,29,11,2,02,1,000000000008682
1999,01,1,07,2,02,31,UU,1,3,2,01,01,06,1999,01,U,55,11,1,UU,1,000000000008683
1999,01,1,07,2,02,31,UU,1,3,2,01,02,01,1990,01,F,23,11,2,02,1,000000000008683
1999,01,1,07,2,02,31,UU,1,3,2,01,02,01,1990,02,F,20,13,2,02,2,000000000008683
1999,01,1,07,2,02,31,UU,1,3,2,01,02,01,1990,03,F,20,23,2,02,2,000000000008683
1999,01,1,08,2,02,21,02,1,5,1,03,01,06,1994,01,M,28,11,2,02,1,000000000008875
1999,01,1,08,2,02,21,02,1,5,1,03,02,01,1991,01,U,51,11,1,UU,1,000000000008875
1999,01,1,07,2,02,31,UU,1,5,1,18,01,01,1998,01,F,22,11,2,02,1,000000000008883
1999,01,1,07,2,02,31,UU,1,5,1,18,01,01,1998,02,F,23,13,2,02,2,000000000008883
1999,01,1,07,2,02,31,UU,1,5,1,18,02,01,1998,01,F,34,11,2,02,1,000000000008883
1999,01,1,12,2,01,01,UU,4,2,1,06,01,01,1990,01,U,77,11,1,UU,1,000000000008900
1999,01,1,12,2,01,01,UU,4,2,1,06,99,NN,NNNN,01,M,25,99,2,NN,3,000000000008900
1999,01,1,11,2,02,34,03,1,5,1,18,01,01,1989,01,F,38,11,2,02,1,000000000008990
1999,01,1,11,2,02,34,03,1,5,1,18,02,01,1984,01,F,38,11,2,02,1,000000000008990
1999,01,1,22,2,02,21,02,1,3,1,18,01,01,1992,01,U,79,11,1,UU,1,000000000008996
1999,01,1,22,2,02,21,02,1,3,1,18,02,01,1998,01,F,30,11,2,02,1,000000000008996
1999,01,1,22,2,02,21,02,1,3,1,18,02,01,1998,02,F,51,13,2,02,2,000000000008996
1999,01,1,22,2,02,21,02,1,3,1,18,02,01,1998,03,M,41,21,2,02,2,000000000008996
1999,01,1,22,2,02,21,02,1,3,1,18,02,01,1998,04,F,63,23,2,02,2,000000000008996
1999,01,1,10,2,02,21,02,1,2,1,06,01,06,1988,01,U,22,11,1,UU,1,000000000008998
1999,01,1,10,2,02,21,02,1,2,1,06,02,01,1995,01,F,25,11,2,02,1,000000000008998
1999,01,1,15,2,02,34,02,1,1,1,18,01,01,1998,01,M,23,11,2,02,1,000000000009088
1999,01,1,15,2,02,34,02,1,1,1,18,02,01,1993,01,M,53,11,2,02,1,000000000009088
1999,01,1,12,2,01,03,UU,1,3,4,18,01,01,1994,01,M,53,11,2,02,1,000000000009118
1999,01,1,12,2,01,03,UU,1,3,4,18,01,01,1994,02,F,49,13,2,02,2,000000000009118
1999,01,1,12,2,01,03,UU,1,3,4,18,01,01,1994,03,M,19,23,2,02,2,000000000009118
1999,01,1,12,2,02,34,UU,1,5,1,18,01,01,1991,01,M,26,11,2,02,1,000000000009295
1999,01,1,12,2,02,34,UU,1,5,1,18,02,01,1997,01,U,82,11,1,UU,1,000000000009295
1999,01,1,15,2,02,21,02,1,3,1,18,01,01,1990,01,U,20,11,1,UU,1,000000000009403
1999,01,1,15,2,02,21,02,1,3,1,18,01,01,1990,02,F,55,13,2,02,2,000000000009403
1999,01,1,15,2,02,21,02,1,3,1,18,02,06,1987,01,U,58,11,1,UU,1,000000000009403
